#MH	XSNLO	muR	muF
25.	19.300000	0.5	0.5
25.	10.590000	1.0	0.5
25.	29.190000	0.5	1.0
25.	16.110000	1.0	1.0
25.	20.490000	1.0	2.0
25.	9.7460000	2.0	1.0
25.	12.570000	2.0	2.0
75.	1.9260000	0.5	0.5
75.	1.2090000	1.0	0.5
75.	2.1910000	0.5	1.0
75.	1.3670000	1.0	1.0
75.	1.4770000	1.0	2.0
75.	0.9191000	2.0	1.0
75.	0.9863000	2.0	2.0
125.	0.4173000	0.5	0.5
125.	0.2753000	1.0	0.5
125.	0.4361000	0.5	1.0
125.	0.2860000	1.0	1.0
125.	0.2900000	1.0	2.0
125.	0.1977000	2.0	1.0
125.	0.2000000	2.0	2.0
175.	0.1330000	0.5	0.5
175.	0.0891100	1.0	0.5
175.	0.1319000	0.5	1.0
175.	0.0889400	1.0	1.0
175.	0.0874100	1.0	2.0
175.	0.0629300	2.0	1.0
175.	0.0615800	2.0	2.0
225.	0.0524200	0.5	0.5
225.	0.0357700	1.0	0.5
225.	0.0508300	0.5	1.0
225.	0.0345900	1.0	1.0
225.	0.0332000	1.0	2.0
225.	0.0247200	2.0	1.0
225.	0.0238300	2.0	2.0
275.	0.0238100	0.5	0.5
275.	0.0164600	1.0	0.5
275.	0.0224800	0.5	1.0
275.	0.0156500	1.0	1.0
275.	0.0147100	1.0	2.0
275.	0.0114000	2.0	1.0
275.	0.0106500	2.0	2.0
325.	0.0187000	0.5	0.5
325.	0.0083950	1.0	0.5
325.	0.0111200	0.5	1.0
325.	0.0078060	1.0	1.0
325.	0.0072950	1.0	2.0
325.	0.0056850	2.0	1.0
325.	0.0052980	2.0	2.0
375.	0.0064500	0.5	0.5
375.	0.0045750	1.0	0.5
375.	0.0059470	0.5	1.0
375.	0.0042070	1.0	1.0
375.	0.0038790	1.0	2.0
375.	0.0030890	2.0	1.0
375.	0.0028480	2.0	2.0
425.	0.0037100	0.5	0.5
425.	0.0026500	1.0	0.5
425.	0.0033890	0.5	1.0
425.	0.0024020	1.0	1.0
425.	0.0021940	1.0	2.0
425.	0.0017770	2.0	1.0
425.	0.0016150	2.0	2.0
475.	0.0022250	0.5	0.5
475.	0.0016010	1.0	0.5
475.	0.0020090	0.5	1.0
475.	0.0014360	1.0	1.0
475.	0.0013020	1.0	2.0
475.	0.0010690	2.0	1.0
475.	0.0009693	2.0	2.0
525.	0.0013790	0.5	0.5
525.	0.0010000	1.0	0.5
525.	0.0012410	0.5	1.0
525.	0.0008972	1.0	1.0
525.	0.0008061	1.0	2.0
525.	0.0006654	2.0	1.0
525.	0.0006010	2.0	2.0
