#MH	XSNLO	XSint	muR	muF
25.	43.200000	-0.0000000	0.5	0.5
25.	26.900000	-1.2470000	1.0	0.5
25.	43.570000	-3.7530000	0.5	1.0
25.	32.350000	-1.9070000	1.0	1.0
25.	31.680000	-0.0000000	1.0	2.0
25.	21.490000	-0.0000000	2.0	1.0
25.	23.800000	-0.0000000	2.0	2.0
75.	2.7290000	-0.0000000	0.5	0.5
75.	2.1210000	-0.1830000	1.0	0.5
75.	2.6520000	-0.3464000	0.5	1.0
75.	2.2020000	-0.2053000	1.0	1.0
75.	2.2270000	-0.0000000	1.0	2.0
75.	1.7430000	-0.0000000	2.0	1.0
75.	1.7920000	-0.0000000	2.0	2.0
125.	0.5419000	-0.0000000	0.5	0.5
125.	0.4469000	-0.0374400	1.0	0.5
125.	0.5339000	-0.0628200	0.5	1.0
125.	0.4527000	-0.0384300	1.0	1.0
125.	0.4502000	-0.0000000	1.0	2.0
125.	0.3654000	-0.0000000	2.0	1.0
125.	0.3667000	-0.0000000	2.0	2.0
175.	0.1689000	-0.0000000	0.5	0.5
175.	0.1427000	-0.0099040	1.0	0.5
175.	0.1644000	-0.0152000	0.5	1.0
175.	0.1420000	-0.0094690	1.0	1.0
175.	0.1405000	-0.0000000	1.0	2.0
175.	0.1159000	-0.0000000	2.0	1.0
175.	0.1144000	-0.0000000	2.0	2.0
225.	0.0660800	-0.0000000	0.5	0.5
225.	0.0562300	-0.0027570	1.0	0.5
225.	0.0655500	-0.0036490	0.5	1.0
225.	0.0554000	-0.0024200	1.0	1.0
225.	0.0549400	-0.0000000	1.0	2.0
225.	0.0458600	-0.0000000	2.0	1.0
225.	0.0450400	-0.0000000	2.0	2.0
275.	0.0305400	-0.0000000	0.5	0.5
275.	0.0261900	-0.0005633	1.0	0.5
275.	0.0298800	-0.0005611	0.5	1.0
275.	0.0253800	-0.0003500	1.0	1.0
275.	0.0248900	+0.0000000	1.0	2.0
275.	0.0211300	+0.0000000	2.0	1.0
275.	0.0205000	+0.0000000	2.0	2.0
325.	0.0154400	+0.0000000	0.5	0.5
325.	0.0132200	+0.0002525	1.0	0.5
325.	0.0150500	+0.0005475	0.5	1.0
325.	0.0126900	+0.0003100	1.0	1.0
325.	0.0124700	+0.0000000	1.0	2.0
325.	0.0107100	+0.0000000	2.0	1.0
325.	0.0102400	+0.0000000	2.0	2.0
375.	0.0083320	+0.0000000	0.5	0.5
375.	0.0073410	+0.0000000	1.0	0.5
375.	0.0082290	+0.0008700	0.5	1.0
375.	0.0069090	+0.0005980	1.0	1.0
375.	0.0066720	+0.0000000	1.0	2.0
375.	0.0058950	+0.0000000	2.0	1.0
375.	0.0056330	+0.0000000	2.0	2.0
425.	0.0048420	+0.0000000	0.5	0.5
425.	0.0041940	+0.0000000	1.0	0.5
425.	0.0047500	+0.0006800	0.5	1.0
425.	0.0040120	+0.0004823	1.0	1.0
425.	0.0038770	+0.0000000	1.0	2.0
425.	0.0033440	+0.0000000	2.0	1.0
425.	0.0032000	+0.0000000	2.0	2.0
475.	0.0029340	+0.0000000	0.5	0.5
475.	0.0025520	+0.0000000	1.0	0.5
475.	0.0028450	+0.0004590	0.5	1.0
475.	0.0024370	+0.0003190	1.0	1.0
475.	0.0023460	+0.0000000	1.0	2.0
475.	0.0020410	+0.0000000	2.0	1.0
475.	0.0019290	+0.0000000	2.0	2.0
525.	0.0018550	+0.0000000	0.5	0.5
525.	0.0015970	+0.0000000	1.0	0.5
525.	0.0017980	+0.0002818	0.5	1.0
525.	0.0015300	+0.0001910	1.0	1.0
525.	0.0014590	+0.0000000	1.0	2.0
525.	0.0012690	+0.0000000	2.0	1.0
525.	0.0012140	+0.0000000	2.0	2.0
