#MH	XSNLO	muR	muF
25.	19.220000	0.5	0.5
25.	10.550000	1.0	0.5
25.	29.080000	0.5	1.0
25.	16.050000	1.0	1.0
25.	20.420000	1.0	2.0
25.	9.7110000	2.0	1.0
25.	12.530000	2.0	2.0
75.	1.9240000	0.5	0.5
75.	1.2077000	1.0	0.5
75.	2.1890000	0.5	1.0
75.	1.3656000	1.0	1.0
75.	1.4750000	1.0	2.0
75.	0.9181000	2.0	1.0
75.	0.9853000	2.0	2.0
125.	0.4170000	0.5	0.5
125.	0.2750000	1.0	0.5
125.	0.4357000	0.5	1.0
125.	0.2857000	1.0	1.0
125.	0.2897000	1.0	2.0
125.	0.1976000	2.0	1.0
125.	0.1998000	2.0	2.0
175.	0.1329000	0.5	0.5
175.	0.0890500	1.0	0.5
175.	0.1318000	0.5	1.0
175.	0.0888800	1.0	1.0
175.	0.0873500	1.0	2.0
175.	0.0628900	2.0	1.0
175.	0.0615400	2.0	2.0
225.	0.0523860	0.5	0.5
225.	0.0357520	1.0	0.5
225.	0.0508020	0.5	1.0
225.	0.0345660	1.0	1.0
225.	0.0331700	1.0	2.0
225.	0.0247000	2.0	1.0
225.	0.0238170	2.0	2.0
275.	0.0237900	0.5	0.5
275.	0.0164500	1.0	0.5
275.	0.0224600	0.5	1.0
275.	0.0156400	1.0	1.0
275.	0.0147000	1.0	2.0
275.	0.0113900	2.0	1.0
275.	0.0106400	2.0	2.0
325.	0.0186600	0.5	0.5
325.	0.0083900	1.0	0.5
325.	0.0111160	0.5	1.0
325.	0.0078010	1.0	1.0
325.	0.0072910	1.0	2.0
325.	0.0056820	2.0	1.0
325.	0.0052950	2.0	2.0
375.	0.0064460	0.5	0.5
375.	0.0045720	1.0	0.5
375.	0.0059440	0.5	1.0
375.	0.0042050	1.0	1.0
375.	0.0038760	1.0	2.0
375.	0.0030870	2.0	1.0
375.	0.0028460	2.0	2.0
425.	0.0037080	0.5	0.5
425.	0.0026490	1.0	0.5
425.	0.0033870	0.5	1.0
425.	0.0024010	1.0	1.0
425.	0.0021920	1.0	2.0
425.	0.0017760	2.0	1.0
425.	0.0016140	2.0	2.0
475.	0.0022230	0.5	0.5
475.	0.0016000	1.0	0.5
475.	0.0020070	0.5	1.0
475.	0.0014350	1.0	1.0
475.	0.0013010	1.0	2.0
475.	0.0010680	2.0	1.0
475.	0.0009687	2.0	2.0
525.	0.0013779	0.5	0.5
525.	0.0009995	1.0	0.5
525.	0.0012399	0.5	1.0
525.	0.0008967	1.0	1.0
525.	0.0008056	1.0	2.0
525.	0.0006650	2.0	1.0
525.	0.0006006	2.0	2.0
